FACILITYID,wildfire_risk
10003698,22.75925925925926
10000139,111.08196721311475
10000129,16.84931506849315
10000864,130.9375
10006334,325.27659574468083
10003721,290.08
10001209,419.24528301886795
10003710,252.46153846153845
10003728,271.48148148148147
10006241,262.59183673469386
10000146,187.48076923076923
10000143,144.30645161290323
10000150,144.68085106382978
10001222,100.42307692307692
10000355,20.18
10003732,308.1041666666667
10006524,233.32692307692307
10001345,41.07017543859649
10003736,104.54430379746836
10001180,623.6
10000079,79.77358490566037
10001185,503.76
10001183,583.765625
10003083,27.37704918032787
10004339,556.3
10003712,174.47916666666666
10001582,63.714285714285715
10001182,542.25
10003307,111.94827586206897
10006522,317.26
10001173,696.4716981132076
10000083,12.666666666666666
10003308,45.509803921568626
10006529,4.391304347826087
10001187,1154.4901960784314
10001172,415.47169811320754
10001175,18.26153846153846
10004335,164.1
10006525,101.96296296296296
10001909,3.3125
10001178,16.692307692307693
10000262,1
10006526,8.543478260869565
10000621,103.52941176470588
10000087,8.733333333333333
10000081,70.07692307692308
10001578,104.6875
10000439,309.33962264150944
10000090,2.588235294117647
10001318,41.42622950819672
10006528,0.5882352941176471
10000941,6.986666666666666
10002066,2.4216867469879517
10000043,83.4090909090909
10001330,10.40983606557377
10002117,142.05555555555554
10002248,88.41891891891892
10001090,3.9382716049382718
10001099,1.2
10000605,94.9774011299435
10001080,1.4603174603174602
10005863,7.136363636363637
10001096,3.559322033898305
10002246,433.5689655172414
10004633,35.48979591836735
10002105,144.91304347826087
10006311,26.583333333333332
