FACILITYID,flood_risk_area_m2,flood_risk_percent
10000564,237224.04357094425,5.537484305894789
10001154,0,0
10006581,554797.4877809682,16.201102261260946
10003629,0,0
10001708,NA,NA
10006326,472554.4919479615,12.170847633235775
10006327,229642.29378521172,5.78947959680915
10005212,3609136.8875315855,92.03482360888697
10004572,467075.7448876695,11.744753008086441
10000332,673307.4779982569,17.403057194706616
10000361,188356.9893164339,4.9145935152813705
10000357,2003019.397935803,52.12775776327297
10000391,603387.1847405331,15.34743202811737
10004558,1244604.7356733752,33.31912923772151
10000403,837844.9693689876,22.340952733181698
10000382,1327990.506443481,35.572069772826104
10000410,228178.98191129635,5.907855446469098
10000420,760476.9872293752,19.381377683399133
10000416,1717279.8206801743,38.000694798568865
10000518,875599.552064259,22.601334990284997
10000665,2033931.1643105554,37.91633072217667
10006210,152444.8433409362,3.6510467980881574
10000647,222842.15239260357,4.04508730278491
10000667,0,0
10000636,0,0
10002259,135125.6951703053,2.7278235138515865
10001786,225142.4054300673,5.017940336413145
10000695,0,0
10000652,577186.2514266017,9.911658406404614
10004734,0,0
10006508,176092.79584249065,5.060509131512294
10000693,1160827.2939524823,25.18789473557143
10002258,0,0
10004732,0,0
10000677,0,0
10000638,434520.3454772728,13.036903567886906
10000457,553246.845500011,14.951170859768222
10000635,0,0
10000662,0,0
10000455,1080494.4307383397,18.830059490766992
10000669,451828.9853618019,10.091733105873498
10000646,19747.158045630753,0.3722643436349992
10000674,0,0
10000687,1949133.5673876235,40.9224654716678
10000682,0,0
10000664,1906845.9988723788,42.536128912789835
10004677,103901.39538606894,2.243981688641846
10006351,182166.90761125254,4.4648095186541745
10000657,19062.344783996614,0.5664025594999632
10000688,0,0
10000672,0,0
10006352,163917.7083020399,4.094469403451656
10000673,0,0
10004667,0,0
10000641,130791.44477667793,2.8853623591103488
10004694,0,0
10006147,239328.26131050114,5.389603308107349
10003542,1567823.4873583596,42.07667406043254
10001718,2154734.5016512037,45.55313237828017
10006654,193739.20017981337,5.602960925709359
10000263,0,0
10006383,42489.22799049985,1.2043633757722667
10001337,314999.30779873737,6.640680938930002
10001325,315481.3776436795,6.128439609266239
10001331,179977.28901148104,3.472657337827546
10001322,0,0
10001333,567301.3679261052,12.208040504037967
10006211,458866.39105316927,11.024062230407743
10001319,0,0
10006549,705257.2472187955,17.55896158276073
10001062,281596.25585581624,6.36405467878049
