FACILITYID,rmp_prox
10000245,0.14066649980743476
10000246,0.05368503595502017
10000247,0.03812936970561445
10000248,0.6847220488556134
10000251,0.2774622269203741
10000252,0.5733995986020963
10000253,0.5559861719340846
10000257,0.01212237352675047
10000258,0.0108204635870724
10000259,0.01803398413980974
10000260,0.2379145705515209
10000261,1.3854739404751655
10000262,1.2189314110413467
10000263,2.810613159600873
10000264,0.012694691083072794
10000267,0.2412536477547155
10000269,0.03431197197982063
10000272,0.05576833799972863
10000273,0.05394819529596299
10000274,0.8715164726761954
10000275,0.07454150086292463
10000277,0.11694626223746521
10000278,0.10123093874400439
10000281,0.052701200395990896
10000282,0.06839455241340546
10000283,0.08099714943821372
10000284,0.20181336590986293
10000285,0.9653188742778647
10000292,5.958999635360582
10000293,4.963189510757077
10000295,0.1973389080674981
10000297,0.029094443352626998
10000298,0.06570245472265546
10000302,0.17854495048963126
10000303,0.031335651277703
10000304,1.0417083192982184
10000307,0.2972734305728392
10000308,0.05766999272798959
10000309,0.042712475364057624
10000310,0.02741045043717885
10000312,0.7330973944175956
10000313,1.4553120685751468
10000314,2.824547210929962
10000315,0.03786740514494489
10000316,0.030512754777795303
10000317,0.02293674806739909
10000318,0.0505490520364557
10000319,0.19480130446599142
10000320,0.22086938285049493
10000323,0.04571739033474312
10000325,0.3445931078003272
10000327,0.030278743421546527
10000328,0.31320757795270243
10000329,0.3548025380979813
10000330,0.020620945564617063
10000332,0.031199509647876853
10000333,0.03086753421404447
10000334,0.029852827875857173
10000335,0.03007215823036351
10000336,0.02742707602634516
10000337,0.02850187986093886
10000338,0.020194734192844423
10000339,0.12419210079336375
10000345,1.026891691177491
10000350,0.17624042823769545
10000351,0.04582968101969873
10000353,0.045437996432171085
10000355,0.8957762254941946
10000356,0.02282204621709857
10000357,0.022623063699947578
10000360,0.13206850879306925
10000361,0.12366824032253762
10000363,0.09295075831412183
10000365,0.03083507593869031
10000368,0.030798694507203763
10000369,0.15151995580905556
10000370,0.8584128763985936
10000374,0.79266874960673706
10000375,0.11379198388643225
10000378,0.022873521995022666
10000381,0.5602023861323716
10000382,0.591391354646151
10000384,0.04318484253604279
10000385,0.04418853174646413
10000386,0.04360890351823436
10000387,0.017501212148324105
10000388,0.017496851989914845
10000390,0.016183745587790316
10000391,0.030293736106488833
10000392,0.03008388331712478
10000393,0.10464768203299821
10000394,0.10790455283151583
10000395,0.10091802269755007
10000396,0.11102741038043269
10000400,0.06673959407404563
10000402,0.04150826866810957
10000403,0.04215630010562853
10000405,0.04210112940482882
10000407,0.097227419496228
10000409,0.03912993981496704
10000410,0.039822034953796506
10000411,0.026592463273318632
10000412,0.025957198846989948
10000413,0.04547471312932169
10000414,0.07857201656488316
10000416,0.05844466450329666
10000417,0.05504141507550788
10000418,0.03636401922339245
10000419,0.03679058928928163
10000420,0.036341323047458754
10000422,0.016257164834375174
10000426,0.1645279409425702
10000428,0.17831560504597296
10000429,0.15432773897985208
10000430,0.12596757646749512
10000432,0.03145716489965454
10000433,0.031365109892683866
10000435,1.035653329875246
10000437,0.0669169074410496
10000438,0.06518971365055515
10000440,0.07532130255827206
10000441,0.07449282442001977
10000442,0.07291317346518324
10000444,0.19648437927281917
10000445,0.19632914448783928
10000448,0.17142565984483812
10000449,0.17695288879398863
10000450,0.41706996567409327
10000453,0.08465317906888403
10000455,0.04508057302515442
10000456,0.10418736756642684
10000457,0.0448212639021324
10000459,0.6391540216057955
10000460,0.5429342433705185
10000461,0.6732119021715713
10000463,0.5254641158365791
10000464,1.2991628184106057
10000465,0.05206457769079407
10000467,0.13861824565150835
10000471,0.1317689252855688
10000472,0.1427703041767405
10000473,0.06752802345685664
10000474,0.06732031173650439
10000478,2.1566200133528115
10000479,2.0520064018773887
10000480,0.46811918794997615
10000481,0.6278661756379673
10000485,0.5633233929880396
10000492,0.14121674219303584
10000494,0.12764950167785585
10000495,0.07527300854756201
10000496,0.07356080692265857
10000498,0.48484746791684985
10000504,0.051046657560184255
10000507,0.35712680040645245
10000508,0.08667991277606135
10000509,0.09341619511475267
10000510,0.08660818003561128
10000512,0.6730110867574177
10000515,0.5063736083628647
10000518,0.45338401999360484
10000519,0.24059505156422514
10000525,0.6353202908600597
10000528,0.2484846104393997
10000531,0.2476376018170812
10000533,1.2316231625669967
10000540,0.721232997689105
10000542,0.09493041691686308
10000545,0.3346001608664089
10000546,0.39644530413648227
10000547,0.10918347114469551
10000548,0.10614750218766282
10000550,0.0940657184962048
10000554,0.6903319374323968
10000557,0.05622390801688495
10000560,1.8858744841218567
10000561,1.7536413396171115
10000562,0.32856251307635054
10000563,0.22172259829669919
10000564,1.172781021450016
10000567,0.13527817459947256
10000569,0.14095983799673814
10000572,0.30392118123334305
10000573,0.010650637789924844
10000575,0.10919085792904543
10000576,0.12246365727541603
10000577,0.09823278476611813
10000578,1.0455582877967404
10000579,0.0610804662353035
10000580,0.06473792290949039
10000581,0.06240038125501204
10000582,0.06604266248982472
10000585,0.084956535218032
10000586,0.5930313878123245
10000587,0.9037550555304066
10000588,0.7006984060538951
10000593,0.008731577606426386
10000595,0.25851529106822874
10000598,0.04085617789882353
10000600,0.05039673855067984
10000601,0.14724858385400777
10000603,0.13108728388522442
10000605,0.053597314290371234
10000606,0.11824265995318144
10000613,0.05533777336838094
10000615,0.06295061188397293
10000618,0.06908868161779413
10000621,0.10929564571488243
