FACILITYID,trafficProx
10001222,11.889200285480207
10001221,24.22632339001072
10003710,0
10006241,NA
10000355,674.7554129235573
10000143,0
10000144,0
10001345,0
10000999,NA
10002605,0
10004118,709.3118092772111
10002564,0
10003083,0
10003084,0
10003067,0
10006670,0
10006524,0
10000079,47.16304448013205
10000085,0
10001005,0
10000267,8.622442833366833
10000075,0
10000076,68.33913438460493
10000088,0
10001004,0
10001009,NA
10000993,NA
10001007,NA
10000070,0
10006381,0
10001696,0
10000995,0
10001361,0
10002608,NA
10000066,0
10000069,0
10000083,0
10002537,NA
10002591,0
10002613,NA
10002606,NA
10000087,1021.3870967998915
10000081,185.36744465891692
10000080,48.07509908709283
10001382,NA
10006526,1258.6184713630482
10006529,2634.268952604635
10002300,NA
10000065,0
10003229,21058.04765243534
10001909,865.5734138126486
10000262,NA
10001906,0
10001910,8.443585726907646
10000078,0
10006525,0
10000941,0
10003233,NA
10002066,NA
10006604,39.515406583046534
10000994,0
10001324,NA
10001330,NA
10006528,287.6699848035777
10003208,831.6279792531462
10006605,0
10001318,0
10001588,0
10006384,NA
10003331,0
10001598,0
10003324,0
10006606,95.80125664663232
10000615,0
10006607,0
10000923,0
10000632,0
10000600,0
10003262,0
10001583,0
10006609,0
10003976,263.07664557544115
10003307,0
10006619,0
10002964,13.722190335144507
10004019,0
10003203,0
10006620,358.20499568597523
10003598,0
10006621,0
10006622,0
10002469,NA
10002980,0
10003213,20.0193742232853
10000762,0
10002463,0
10001684,NA
10001687,NA
10001748,0
10001677,0
10001520,0
10006175,0
10006196,21.214693101028917
10006176,0
10006219,318.6025501208112
10000159,155.5107460296614
10006749,28.620885304102302
10001690,0
10001760,0
10001633,113.92392883335123
10001320,0
10003017,NA
10004168,0
10006837,1341.9090460518069
10004023,0
10001678,NA
10004095,0
10002488,408.69198805535933
10000987,0
10002491,0
10001807,0
10002479,0
10001676,NA
10002455,0
10001681,0
10001679,0
10002440,3633.3613709192223
10002460,NA
10002459,9340.935513097287
10002470,NA
10002493,0
10005990,NA
10000281,NA
10002472,NA
10002505,NA
10002476,0
10002497,NA
10002500,8.91585117849391
10002485,0
10000094,NA
10000981,4.561875706096562
10000095,305.57053239596
10001914,NA
